session_id,timestamp,latitude,longitude,surface,confidence
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T07:11:53.271449+08:00,10.3446440,123.8070340,TRAIL,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T07:12:00.309865+08:00,10.3446451,123.8071232,UNPAVED,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T07:13:36.317419+08:00,10.3446530,123.8072644,TRAIL,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T07:13:52.318335+08:00,10.3446376,123.8072702,UNPAVED,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T07:14:08.310651+08:00,10.3445499,123.8072636,TRAIL,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T07:14:16.305552+08:00,10.3445139,123.8072927,UNPAVED,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T07:14:32.307143+08:00,10.3444815,123.8074347,TRAIL,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T07:15:28.337206+08:00,10.3445168,123.8074648,UNPAVED,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T07:15:44.308475+08:00,10.3444409,123.8074861,TRAIL,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T07:16:16.307521+08:00,10.3443277,123.8074136,UNPAVED,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T07:16:24.310544+08:00,10.3444273,123.8074737,TRAIL,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T07:16:48.319251+08:00,10.3443283,123.8075981,CONCRETE,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T07:16:56.338428+08:00,10.3443195,123.8076800,UNPAVED,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T07:17:44.310617+08:00,10.3439701,123.8079547,TRAIL,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T07:17:52.312231+08:00,10.3439169,123.8080221,UNPAVED,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T07:18:01.308071+08:00,10.3439562,123.8080994,TRAIL,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T07:18:16.315284+08:00,10.3439580,123.8081101,CONCRETE,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T07:18:24.308383+08:00,10.3439120,123.8082023,TRAIL,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T07:18:32.360394+08:00,10.3439215,123.8082601,UNPAVED,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T07:18:40.307824+08:00,10.3439580,123.8083021,TRAIL,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T07:38:33.33681+08:00,10.3439593,123.8097080,UNPAVED,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T07:38:40.311195+08:00,10.3439146,123.8098024,TRAIL,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T07:54:39.239757+08:00,10.3428202,123.8102447,UNPAVED,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T07:54:43.30271+08:00,10.3427642,123.8102674,TRAIL,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T07:56:01.331656+08:00,10.3423879,123.8103971,UNPAVED,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T07:56:09.322199+08:00,10.3424023,123.8104481,TRAIL,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:06:17.315551+08:00,10.3414499,123.8106168,UNPAVED,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:06:25.334179+08:00,10.3414475,123.8107138,CONCRETE,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:06:31.330427+08:00,10.3414401,123.8107883,UNPAVED,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:07:14.326932+08:00,10.3413842,123.8110066,TRAIL,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:07:20.318278+08:00,10.3413690,123.8110195,UNPAVED,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:08:58.270222+08:00,10.3413128,123.8111156,CONCRETE,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:09:01.680688+08:00,10.3413128,123.8111156,TRAIL,1.00
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:16:33.300221+08:00,10.3413684,123.8122105,UNPAVED,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:16:41.300591+08:00,10.3414189,123.8122270,TRAIL,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:18:18.311287+08:00,10.3415966,123.8125728,UNPAVED,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:18:33.323139+08:00,10.3416309,123.8126520,TRAIL,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:19:29.300926+08:00,10.3418017,123.8127217,UNPAVED,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:19:37.300286+08:00,10.3417700,123.8127678,TRAIL,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:21:13.300811+08:00,10.3420198,123.8128286,UNPAVED,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:21:21.308044+08:00,10.3421786,123.8128128,TRAIL,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:21:37.298706+08:00,10.3423183,123.8127497,UNPAVED,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:22:01.302981+08:00,10.3425430,123.8128115,TRAIL,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:23:05.329486+08:00,10.3424987,123.8129628,CONCRETE,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:23:13.328714+08:00,10.3424735,123.8129465,TRAIL,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:23:21.327577+08:00,10.3425715,123.8130074,UNPAVED,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:23:37.312908+08:00,10.3426356,123.8130579,TRAIL,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:24:01.299769+08:00,10.3424814,123.8131648,UNPAVED,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:24:09.330154+08:00,10.3424653,123.8132091,TRAIL,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:24:17.322447+08:00,10.3424504,123.8132582,UNPAVED,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:25:05.301118+08:00,10.3424040,123.8134388,CONCRETE,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:25:21.31633+08:00,10.3424705,123.8135765,UNPAVED,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:26:00.313959+08:00,10.3423493,123.8134196,CONCRETE,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:26:34.299031+08:00,10.3424378,123.8131941,TRAIL,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:27:52.289004+08:00,10.3424674,123.8131760,CONCRETE,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:28:02.298577+08:00,10.3424814,123.8130730,TRAIL,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:28:17.297572+08:00,10.3425770,123.8130667,CONCRETE,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:28:41.295768+08:00,10.3427680,123.8129832,UNPAVED,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:29:44.319782+08:00,10.3432318,123.8134025,CONCRETE,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:30:24.308966+08:00,10.3433426,123.8135502,UNPAVED,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:30:48.294226+08:00,10.3433936,123.8137694,CONCRETE,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:30:58.303662+08:00,10.3434100,123.8138934,UNPAVED,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:31:05.326141+08:00,10.3434269,123.8138607,CONCRETE,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:31:53.297887+08:00,10.3435258,123.8140921,TRAIL,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:32:01.307966+08:00,10.3435073,123.8141061,UNPAVED,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:32:17.318213+08:00,10.3435205,123.8141051,TRAIL,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:32:24.311031+08:00,10.3435843,123.8141413,CONCRETE,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:32:34.329426+08:00,10.3436404,123.8141694,UNPAVED,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:33:13.307774+08:00,10.3438134,123.8143473,CONCRETE,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T08:33:21.332554+08:00,10.3438061,123.8144459,UNPAVED,0.50
